                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.7729,                0.77935,                0.76538,                0.91601,                0.66115,                0.72816,                 0.3393,                 1.6362,                 0.6136,                0.79506,              9.016e-05,              9.016e-05,              9.016e-05
                    153,                 1.7855,                0.77307,                0.76006,                0.92369,                0.66362,                0.72686,                0.33951,                 1.6259,                0.61895,                0.79548,             8.8393e-05,             8.8393e-05,             8.8393e-05
                    154,                 1.7889,                0.77257,                 0.7666,                0.90596,                0.65545,                 0.7182,                0.34439,                    1.6,                0.60772,                0.79375,             8.6626e-05,             8.6626e-05,             8.6626e-05
                    155,                 1.7778,                0.76942,                0.76471,                 0.9114,                0.65131,                0.71431,                0.33404,                  1.637,                0.61675,                0.79375,             8.4859e-05,             8.4859e-05,             8.4859e-05
                    156,                 1.7969,                0.77811,                0.76415,                0.91979,                0.66078,                0.72787,                0.34821,                 1.6004,                0.60386,                0.79419,             8.3092e-05,             8.3092e-05,             8.3092e-05
                    157,                 1.7919,                0.77396,                0.76439,                0.91204,                0.64781,                0.71333,                0.34015,                 1.6209,                0.60736,                0.79381,             8.1325e-05,             8.1325e-05,             8.1325e-05
                    158,                 1.7746,                 0.7668,                0.75929,                 0.9036,                0.64774,                0.71172,                0.33685,                  1.627,                0.60492,                0.79499,             7.9557e-05,             7.9557e-05,             7.9557e-05
                    159,                 1.7656,                0.75499,                0.76192,                0.90747,                 0.6483,                0.71387,                0.34555,                 1.6207,                0.59469,                0.79632,              7.779e-05,              7.779e-05,              7.779e-05
                    160,                 1.7625,                0.75656,                0.76117,                0.90711,                0.64704,                 0.7101,                0.33745,                 1.6277,                0.60692,                0.79476,             7.6023e-05,             7.6023e-05,             7.6023e-05
                    161,                 1.7611,                 0.7528,                 0.7578,                0.90722,                0.64928,                0.71549,                 0.3328,                 1.6564,                0.61666,                0.79556,             7.4256e-05,             7.4256e-05,             7.4256e-05
                    162,                 1.7689,                0.76156,                0.76057,                0.90763,                0.65138,                0.71761,                0.33706,                 1.6409,                0.60701,                0.79375,             7.2489e-05,             7.2489e-05,             7.2489e-05
                    163,                 1.7888,                0.77599,                0.76159,                0.91172,                0.65197,                0.71862,                0.34164,                 1.6159,                0.59965,                0.79418,             7.0722e-05,             7.0722e-05,             7.0722e-05
                    164,                 1.7852,                0.76941,                0.76283,                0.91865,                0.63959,                0.71764,                0.34421,                 1.6263,                 0.6164,                0.79431,             6.8955e-05,             6.8955e-05,             6.8955e-05
                    165,                 1.7403,                  0.752,                0.76129,                0.90935,                0.64056,                0.71868,                0.34634,                 1.6161,                0.61089,                0.79378,             6.7187e-05,             6.7187e-05,             6.7187e-05
                    166,                 1.7679,                0.76765,                0.76376,                0.89917,                0.63963,                0.71027,                0.33844,                 1.6332,                0.61235,                0.79468,              6.542e-05,              6.542e-05,              6.542e-05
                    167,                 1.7733,                0.76102,                0.76231,                0.91014,                0.65124,                0.71791,                0.34396,                  1.618,                0.60136,                0.79489,             6.3653e-05,             6.3653e-05,             6.3653e-05
                    168,                 1.7732,                0.76611,                0.75488,                0.91177,                0.64617,                0.71429,                0.33433,                 1.6525,                0.61529,                0.79445,             6.1886e-05,             6.1886e-05,             6.1886e-05
                    169,                 1.7666,                 0.7653,                 0.7592,                0.91001,                0.64166,                0.71509,                0.32891,                 1.6731,                0.62578,                 0.7956,             6.0119e-05,             6.0119e-05,             6.0119e-05
                    170,                 1.7545,                0.75402,                0.76046,                 0.9144,                0.65061,                0.72364,                0.34654,                 1.5949,                0.60446,                0.79306,             5.8352e-05,             5.8352e-05,             5.8352e-05
                    171,                 1.7514,                0.75469,                0.76473,                0.90993,                0.65394,                 0.7182,                0.33976,                 1.6011,                0.60911,                0.79253,             5.6585e-05,             5.6585e-05,             5.6585e-05
                    172,                 1.7982,                0.78086,                0.75364,                0.91265,                0.65099,                0.71967,                0.34184,                 1.6252,                0.60892,                0.79338,             5.4817e-05,             5.4817e-05,             5.4817e-05
                    173,                 1.7485,                0.75163,                0.76553,                 0.9146,                 0.6514,                0.72357,                 0.3361,                 1.6407,                0.61513,                0.79402,              5.305e-05,              5.305e-05,              5.305e-05
                    174,                 1.7516,                0.75302,                0.75595,                0.90521,                0.64739,                  0.719,                0.34364,                  1.612,                  0.605,                0.79401,             5.1283e-05,             5.1283e-05,             5.1283e-05
                    175,                 1.7367,                0.74818,                0.76212,                0.91247,                0.65031,                0.72139,                0.33799,                 1.6395,                0.60975,                0.79465,             4.9516e-05,             4.9516e-05,             4.9516e-05
                    176,                 1.7413,                0.73808,                0.76514,                0.90421,                0.64647,                0.71672,                0.33788,                 1.6339,                0.60984,                0.79454,             4.7749e-05,             4.7749e-05,             4.7749e-05
                    177,                 1.7351,                0.73833,                0.76401,                0.90206,                0.64187,                0.71248,                0.34054,                 1.6171,                0.60907,                0.79396,             4.5982e-05,             4.5982e-05,             4.5982e-05
                    178,                  1.743,                0.75245,                0.76154,                0.90626,                0.65118,                0.71843,                 0.3436,                 1.5993,                0.60418,                0.79367,             4.4214e-05,             4.4214e-05,             4.4214e-05
                    179,                  1.747,                0.74701,                0.75944,                0.90532,                0.64868,                 0.7197,                0.34256,                 1.6176,                 0.6083,                0.79519,             4.2447e-05,             4.2447e-05,             4.2447e-05
                    180,                 1.7227,                0.74279,                0.76349,                0.91685,                0.64507,                  0.721,                0.33857,                 1.6425,                0.62244,                0.79505,              4.068e-05,              4.068e-05,              4.068e-05
                    181,                 1.7572,                 0.7627,                0.76024,                0.91438,                0.64539,                0.71817,                0.33723,                 1.6375,                0.61522,                0.79377,             3.8913e-05,             3.8913e-05,             3.8913e-05
                    182,                 1.7319,                0.74134,                0.76337,                0.91052,                0.64662,                0.71661,                0.33624,                 1.6364,                0.60911,                0.79369,             3.7146e-05,             3.7146e-05,             3.7146e-05
                    183,                 1.7296,                0.74524,                0.75943,                0.92224,                0.65412,                0.72508,                0.34499,                 1.6032,                0.60051,                 0.7936,             3.5379e-05,             3.5379e-05,             3.5379e-05
                    184,                 1.7552,                0.75051,                0.75927,                 0.9183,                0.65239,                0.72306,                0.34826,                 1.5989,                0.59982,                0.79352,             3.3612e-05,             3.3612e-05,             3.3612e-05
                    185,                 1.7336,                 0.7346,                0.76599,                0.91848,                0.65082,                0.72233,                0.34642,                 1.5957,                0.60701,                0.79277,             3.1844e-05,             3.1844e-05,             3.1844e-05
                    186,                 1.7178,                0.73338,                  0.768,                0.91661,                 0.6528,                0.72279,                0.34465,                 1.6002,                0.60779,                0.79299,             3.0077e-05,             3.0077e-05,             3.0077e-05
                    187,                 1.7621,                0.77007,                0.76121,                0.91533,                0.65103,                 0.7208,                0.33994,                 1.6334,                0.61404,                0.79445,              2.831e-05,              2.831e-05,              2.831e-05
                    188,                 1.7359,                0.73046,                0.75951,                0.91421,                0.64895,                 0.7222,                0.33609,                 1.6479,                0.61794,                0.79524,             2.6543e-05,             2.6543e-05,             2.6543e-05
                    189,                 1.7313,                0.74825,                0.75874,                0.91768,                0.65058,                0.72218,                0.34722,                 1.6066,                0.60843,                0.79418,             2.4776e-05,             2.4776e-05,             2.4776e-05
                    190,                 1.7428,                0.74082,                0.75486,                0.91353,                0.65217,                0.72157,                0.34867,                 1.5973,                0.60502,                0.79403,             2.3009e-05,             2.3009e-05,             2.3009e-05
                    191,                 1.7047,                0.72835,                 0.7635,                0.91653,                0.65427,                0.72863,                 0.3432,                 1.6269,                0.61119,                0.79463,             2.1242e-05,             2.1242e-05,             2.1242e-05
                    192,                 1.6935,                0.72289,                0.76884,                 0.9159,                0.65222,                0.73337,                0.33875,                 1.6602,                0.61819,                0.79626,             1.9474e-05,             1.9474e-05,             1.9474e-05
                    193,                 1.7054,                0.72932,                0.76995,                0.91525,                0.65599,                0.73395,                0.34199,                 1.6505,                0.61606,                0.79564,             1.7707e-05,             1.7707e-05,             1.7707e-05
                    194,                 1.6664,                0.69663,                0.76884,                0.91298,                0.65685,                 0.7344,                0.34432,                 1.6358,                0.61182,                0.79467,              1.594e-05,              1.594e-05,              1.594e-05
                    195,                 1.6999,                0.71326,                0.76794,                0.91441,                0.65606,                0.73381,                0.34794,                 1.6214,                0.60854,                0.79402,             1.4173e-05,             1.4173e-05,             1.4173e-05
                    196,                 1.6744,                0.70362,                0.77156,                0.91888,                0.65966,                0.73538,                0.35085,                 1.6071,                0.60467,                0.79349,             1.2406e-05,             1.2406e-05,             1.2406e-05
                    197,                 1.7223,                0.72502,                0.76317,                0.91604,                0.65793,                0.73388,                0.35043,                 1.6086,                0.60474,                0.79357,             1.0639e-05,             1.0639e-05,             1.0639e-05
                    198,                 1.6642,                0.68996,                0.76494,                0.91793,                 0.6585,                0.73409,                0.34943,                  1.614,                0.60648,                0.79369,             8.8715e-06,             8.8715e-06,             8.8715e-06
                    199,                 1.6884,                0.70645,                0.76702,                 0.9174,                 0.6579,                 0.7325,                 0.3481,                 1.6173,                0.60793,                0.79371,             7.1043e-06,             7.1043e-06,             7.1043e-06
                    200,                 1.6978,                0.70672,                0.77006,                0.92002,                  0.659,                0.73496,                 0.3474,                  1.621,                0.60912,                0.79379,             5.3372e-06,             5.3372e-06,             5.3372e-06
