                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0795,                 1.2807,                0.78395,                0.76115,                0.44266,                0.52068,                0.19959,                 2.0474,                 1.1034,                0.81597,             0.00029692,             0.00029692,             0.00029692
                     36,                  2.073,                 1.2618,                0.78561,                0.82082,                0.51495,                0.57532,                0.25042,                 1.8578,                0.90467,                0.80688,             0.00029515,             0.00029515,             0.00029515
                     37,                 2.0727,                 1.2433,                0.78141,                0.81439,                0.49733,                0.57093,                 0.2458,                 1.8619,                0.94229,                0.80781,             0.00029338,             0.00029338,             0.00029338
                     38,                  2.041,                 1.2181,                0.78653,                0.80433,                0.54041,                0.59764,                0.25514,                 1.8407,                0.87351,                0.80766,             0.00029162,             0.00029162,             0.00029162
                     39,                 2.0782,                 1.2198,                0.78817,                0.86603,                0.53477,                0.60505,                0.26526,                 1.8276,                0.86301,                0.80682,             0.00028985,             0.00028985,             0.00028985
                     40,                 2.0673,                   1.19,                0.78276,                0.79819,                0.52527,                 0.5942,                0.26103,                  1.823,                0.86327,                 0.8059,             0.00028808,             0.00028808,             0.00028808
                     41,                 2.0725,                 1.1945,                0.78835,                0.81732,                0.52498,                0.59523,                0.26459,                 1.8343,                0.90762,                0.80549,             0.00028631,             0.00028631,             0.00028631
                     42,                 2.0663,                 1.1658,                0.77842,                0.84609,                0.53795,                0.60414,                0.25344,                 1.8982,                0.87858,                0.80767,             0.00028455,             0.00028455,             0.00028455
                     43,                 2.0383,                 1.1617,                0.78451,                0.87005,                0.53195,                0.60014,                0.25257,                 1.9038,                0.87333,                0.80445,             0.00028278,             0.00028278,             0.00028278
                     44,                 2.0966,                 1.1601,                0.78232,                0.80529,                0.54889,                 0.6009,                 0.2566,                 1.8791,                0.86039,                0.80858,             0.00028101,             0.00028101,             0.00028101
                     45,                 2.0955,                 1.1375,                0.78456,                0.85227,                 0.5472,                0.60937,                0.25792,                 1.8939,                0.85095,                 0.8011,             0.00027925,             0.00027925,             0.00027925
                     46,                 2.0128,                  1.081,                0.77744,                0.87302,                0.54529,                 0.6041,                0.25189,                 1.8623,                0.82416,                0.80459,             0.00027748,             0.00027748,             0.00027748
                     47,                 2.0306,                 1.0924,                0.77997,                 0.8694,                  0.564,                0.61449,                0.26459,                 1.8598,                0.78687,                0.80313,             0.00027571,             0.00027571,             0.00027571
                     48,                 2.0114,                 1.0761,                0.77634,                0.82801,                0.54643,                0.60142,                0.26114,                 1.8371,                0.84033,                0.80229,             0.00027394,             0.00027394,             0.00027394
                     49,                 2.0062,                 1.0756,                0.77889,                0.88609,                0.55785,                0.61619,                0.27414,                 1.8238,                0.81196,                 0.8036,             0.00027218,             0.00027218,             0.00027218
                     50,                 2.0398,                 1.0832,                 0.7729,                0.84361,                0.55658,                0.61313,                0.25807,                 1.8679,                0.79101,                0.80501,             0.00027041,             0.00027041,             0.00027041
                     51,                 2.0037,                 1.0682,                0.77872,                0.88005,                0.54459,                0.62208,                0.27603,                 1.8024,                0.79327,                0.80268,             0.00026864,             0.00026864,             0.00026864
                     52,                 2.0481,                  1.062,                0.77727,                0.82508,                0.56137,                0.61114,                0.24992,                 1.9157,                0.77138,                0.80569,             0.00026688,             0.00026688,             0.00026688
                     53,                 1.9963,                 1.0377,                0.77084,                0.90988,                0.58533,                0.63622,                0.26881,                 1.8245,                0.76712,                0.80328,             0.00026511,             0.00026511,             0.00026511
                     54,                  2.023,                 1.0394,                0.78329,                0.88959,                0.57229,                0.63004,                 0.2769,                  1.813,                 0.7711,                0.80317,             0.00026334,             0.00026334,             0.00026334
                     55,                 2.0025,                 1.0184,                0.77158,                0.85934,                0.57872,                0.63296,                0.27825,                 1.7914,                0.73118,                0.80609,             0.00026157,             0.00026157,             0.00026157
                     56,                 1.9793,                0.99888,                0.77002,                0.86145,                0.57584,                0.63644,                0.28618,                 1.7695,                0.73804,                0.80163,             0.00025981,             0.00025981,             0.00025981
                     57,                 1.9782,                0.98386,                0.77497,                 0.8768,                 0.5764,                0.62317,                0.27386,                 1.8086,                0.75702,                0.80171,             0.00025804,             0.00025804,             0.00025804
                     58,                 1.9719,                0.99837,                 0.7718,                0.87396,                0.58927,                0.63772,                0.27705,                  1.814,                0.72746,                0.80266,             0.00025627,             0.00025627,             0.00025627
                     59,                  2.002,                0.99092,                 0.7708,                0.90526,                 0.6037,                0.66092,                0.28887,                  1.761,                0.72888,                0.80156,             0.00025451,             0.00025451,             0.00025451
                     60,                 2.0028,                0.99412,                 0.7734,                0.90125,                0.59513,                0.66072,                0.29207,                 1.7543,                0.70908,                0.80129,             0.00025274,             0.00025274,             0.00025274
                     61,                 1.9815,                0.97551,                0.76569,                0.87409,                0.60236,                0.65681,                0.29588,                 1.7732,                0.68919,                0.80389,             0.00025097,             0.00025097,             0.00025097
                     62,                 1.9724,                0.96757,                0.77639,                0.87922,                0.58646,                0.64614,                0.27977,                 1.7943,                0.73992,                0.80077,              0.0002492,              0.0002492,              0.0002492
                     63,                 1.9721,                0.96514,                0.77167,                0.88108,                0.60168,                0.64491,                0.29274,                 1.7686,                 0.6872,                0.80226,             0.00024744,             0.00024744,             0.00024744
                     64,                  1.998,                0.95034,                0.77091,                0.90649,                0.59056,                0.65649,                0.28157,                  1.826,                0.75144,                0.80568,             0.00024567,             0.00024567,             0.00024567
                     65,                 1.9967,                 0.9619,                0.77364,                 0.8841,                0.60958,                0.66229,                0.29757,                 1.7421,                0.69153,                0.79933,              0.0002439,              0.0002439,              0.0002439
