                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1759,                 1.3858,                0.77984,                0.73549,                0.46088,                0.51596,                0.21246,                 1.9315,                 1.1502,                0.80598,             0.00029692,             0.00029692,             0.00029692
                     36,                 2.1636,                 1.3638,                0.78112,                0.77391,                0.48601,                0.55105,                 0.2337,                 1.9032,                  1.001,                0.80443,             0.00029515,             0.00029515,             0.00029515
                     37,                  2.148,                 1.3393,                0.77638,                0.74723,                 0.4832,                0.55123,                0.23822,                 1.8581,                0.97718,                0.80318,             0.00029338,             0.00029338,             0.00029338
                     38,                 2.1281,                 1.3171,                0.78226,                0.78816,                0.49843,                0.56169,                0.24148,                 1.8922,                0.96553,                0.80131,             0.00029162,             0.00029162,             0.00029162
                     39,                 2.1596,                 1.3176,                0.78202,                0.79985,                0.50366,                0.58319,                0.25308,                 1.8629,                0.95718,                0.80394,             0.00028985,             0.00028985,             0.00028985
                     40,                 2.1311,                 1.2657,                 0.7776,                0.75896,                0.51201,                0.57948,                0.25044,                 1.8637,                 1.0049,                0.80197,             0.00028808,             0.00028808,             0.00028808
                     41,                 2.1406,                 1.2731,                0.78375,                0.79434,                0.51642,                0.58358,                0.25513,                 1.8382,                0.90783,                0.80313,             0.00028631,             0.00028631,             0.00028631
                     42,                  2.145,                 1.2444,                0.77492,                0.81507,                0.51026,                0.57936,                0.24025,                 1.9162,                0.94197,                0.80587,             0.00028455,             0.00028455,             0.00028455
                     43,                 2.1035,                 1.2404,                0.77956,                0.81725,                0.53561,                 0.5998,                0.25115,                 1.8965,                0.89735,                0.80321,             0.00028278,             0.00028278,             0.00028278
                     44,                 2.1497,                 1.2299,                0.77985,                0.81569,                0.54734,                0.60235,                0.25245,                 1.8711,                0.88896,                0.80416,             0.00028101,             0.00028101,             0.00028101
                     45,                 2.1247,                 1.2037,                0.78197,                0.83238,                0.54288,                0.60414,                0.25632,                 1.8653,                0.86892,                0.79967,             0.00027925,             0.00027925,             0.00027925
                     46,                 2.0516,                 1.1445,                0.77377,                0.83171,                0.53334,                0.60372,                0.24768,                 1.8861,                0.88753,                0.80493,             0.00027748,             0.00027748,             0.00027748
                     47,                 2.1051,                 1.1655,                0.77835,                0.83693,                0.54356,                0.60794,                0.24708,                 1.9197,                0.84136,                0.80023,             0.00027571,             0.00027571,             0.00027571
                     48,                 2.0684,                 1.1429,                0.77435,                0.85223,                0.55085,                0.61044,                0.25942,                 1.8412,                0.82994,                0.80079,             0.00027394,             0.00027394,             0.00027394
                     49,                 2.0565,                 1.1179,                0.77762,                0.87843,                0.54061,                0.61745,                 0.2622,                 1.8797,                0.87112,                0.80081,             0.00027218,             0.00027218,             0.00027218
                     50,                 2.0896,                  1.141,                0.77158,                0.82708,                 0.5505,                0.61419,                0.26073,                 1.8478,                0.84953,                0.80276,             0.00027041,             0.00027041,             0.00027041
                     51,                 2.0742,                 1.1359,                0.77822,                0.82765,                0.56643,                  0.621,                0.26592,                 1.8533,                0.78071,                0.80091,             0.00026864,             0.00026864,             0.00026864
                     52,                 2.0852,                 1.1176,                0.77676,                0.86619,                0.56936,                0.62964,                0.26662,                 1.8284,                0.80063,                0.80225,             0.00026688,             0.00026688,             0.00026688
                     53,                 2.0504,                 1.0917,                0.77013,                 0.8616,                0.57901,                0.64138,                0.26431,                 1.8758,                 0.7675,                0.80187,             0.00026511,             0.00026511,             0.00026511
                     54,                  2.064,                 1.0965,                0.78305,                0.85475,                0.59248,                0.64274,                 0.2719,                 1.8247,                0.78067,                0.80124,             0.00026334,             0.00026334,             0.00026334
                     55,                 2.0387,                 1.0707,                0.77135,                0.83043,                0.57514,                0.63235,                0.26644,                 1.8399,                 0.7604,                0.80205,             0.00026157,             0.00026157,             0.00026157
                     56,                 2.0332,                 1.0557,                   0.77,                0.86035,                0.58078,                0.63919,                0.27463,                 1.8185,                0.77507,                0.80083,             0.00025981,             0.00025981,             0.00025981
                     57,                 2.0391,                 1.0497,                0.77567,                0.87963,                0.57595,                0.63251,                0.26986,                 1.8274,                0.77683,                0.80091,             0.00025804,             0.00025804,             0.00025804
                     58,                 2.0231,                 1.0481,                0.77251,                0.87571,                 0.5969,                0.64798,                0.27974,                  1.787,                0.74021,                0.80007,             0.00025627,             0.00025627,             0.00025627
                     59,                 2.0487,                 1.0455,                0.77162,                0.88031,                0.59866,                0.64614,                0.27661,                 1.8011,                0.74944,                 0.7989,             0.00025451,             0.00025451,             0.00025451
                     60,                 2.0406,                 1.0426,                0.77266,                0.87899,                 0.5859,                0.65214,                 0.2709,                 1.8369,                0.75034,                0.80024,             0.00025274,             0.00025274,             0.00025274
                     61,                 2.0288,                 1.0263,                 0.7657,                 0.8753,                0.60927,                0.65366,                0.28398,                 1.7903,                0.72093,                0.80129,             0.00025097,             0.00025097,             0.00025097
                     62,                 2.0167,                 1.0079,                 0.7759,                0.86533,                0.59382,                0.64999,                0.27503,                 1.8208,                0.74637,                0.79989,              0.0002492,              0.0002492,              0.0002492
                     63,                 2.0144,                 1.0038,                0.77148,                0.83801,                0.60759,                0.64224,                0.28361,                 1.7789,                0.73721,                0.79811,             0.00024744,             0.00024744,             0.00024744
                     64,                 2.0406,                0.99661,                0.77171,                0.88748,                0.59907,                0.65258,                0.27432,                 1.8267,                0.74684,                0.80297,             0.00024567,             0.00024567,             0.00024567
                     65,                 2.0415,                 1.0157,                0.77365,                0.87412,                0.60788,                0.65407,                0.28618,                 1.7701,                0.70902,                0.79868,              0.0002439,              0.0002439,              0.0002439
                     66,                 1.9931,                0.97367,                0.77314,                0.86875,                0.59971,                0.65114,                0.28303,                 1.7686,                0.74582,                0.80062,             0.00024214,             0.00024214,             0.00024214
                     67,                 1.9907,                0.97376,                0.76881,                0.86883,                0.58161,                0.64887,                0.27534,                 1.8442,                0.72589,                0.79893,             0.00024037,             0.00024037,             0.00024037
                     68,                 1.9939,                0.98428,                0.77276,                0.85345,                0.59951,                0.65286,                0.29569,                 1.7554,                0.70923,                 0.7977,              0.0002386,              0.0002386,              0.0002386
                     69,                 1.9981,                0.96857,                0.76903,                 0.8722,                0.61605,                0.66199,                0.28838,                 1.7768,                0.70906,                0.79935,             0.00023683,             0.00023683,             0.00023683
                     70,                  2.015,                0.98738,                0.77052,                0.87631,                0.61928,                0.66099,                0.29261,                 1.7423,                0.70455,                0.79796,             0.00023507,             0.00023507,             0.00023507
                     71,                 1.9873,                0.96197,                0.77341,                0.87984,                0.60968,                0.65639,                0.27765,                 1.8103,                  0.714,                0.80069,              0.0002333,              0.0002333,              0.0002333
                     72,                 2.0116,                  0.972,                 0.7726,                0.87295,                0.60699,                0.66163,                0.28833,                 1.7819,                0.70789,                0.79791,             0.00023153,             0.00023153,             0.00023153
                     73,                 1.9504,                0.92873,                0.77047,                0.87516,                0.62442,                0.66533,                0.29813,                 1.7407,                0.68606,                0.79857,             0.00022977,             0.00022977,             0.00022977
                     74,                 1.9851,                0.94236,                0.76999,                0.87757,                0.62157,                0.66785,                0.29474,                 1.7719,                0.70641,                0.79709,               0.000228,               0.000228,               0.000228
                     75,                 1.9744,                 0.9578,                0.77113,                0.87689,                0.62766,                0.66515,                0.29454,                 1.7591,                0.68857,                0.79816,             0.00022623,             0.00022623,             0.00022623
                     76,                 1.9845,                0.94823,                0.77414,                0.87817,                0.61865,                0.66511,                 0.2957,                 1.7464,                0.67982,                0.79827,             0.00022446,             0.00022446,             0.00022446
                     77,                 1.9997,                0.94679,                0.77182,                0.87896,                0.61931,                 0.6619,                0.27687,                 1.8323,                0.71658,                0.79913,              0.0002227,              0.0002227,              0.0002227
                     78,                 1.9852,                0.93718,                0.76634,                0.88678,                0.63147,                0.67788,                0.30428,                 1.7312,                0.68632,                0.79759,             0.00022093,             0.00022093,             0.00022093
                     79,                 1.9723,                0.94052,                0.77516,                 0.8844,                  0.621,                  0.671,                0.30103,                 1.7368,                0.68554,                0.79646,             0.00021916,             0.00021916,             0.00021916
                     80,                 1.9431,                0.92667,                0.76289,                0.88239,                0.63101,                0.68388,                0.30912,                 1.7012,                0.66346,                0.79737,              0.0002174,              0.0002174,              0.0002174
                     81,                 1.9756,                0.91912,                0.77064,                0.89381,                0.62923,                0.68234,                0.30445,                 1.7215,                0.66164,                0.79621,             0.00021563,             0.00021563,             0.00021563
                     82,                 1.9424,                0.91612,                0.76442,                 0.8894,                0.63208,                0.67873,                0.30182,                 1.7283,                0.66893,                0.79884,             0.00021386,             0.00021386,             0.00021386
                     83,                 1.9505,                0.91662,                0.77351,                0.87041,                0.62216,                0.68039,                0.29822,                 1.7363,                0.68514,                0.79835,             0.00021209,             0.00021209,             0.00021209
                     84,                 1.9697,                0.92477,                0.77327,                0.87768,                0.64063,                0.67488,                0.28212,                 1.7954,                0.68833,                0.79893,             0.00021033,             0.00021033,             0.00021033
                     85,                 1.9726,                 0.9223,                0.76693,                0.88038,                0.63812,                0.68196,                0.29575,                  1.761,                0.68039,                0.79826,             0.00020856,             0.00020856,             0.00020856
                     86,                 1.9651,                0.90308,                0.77017,                0.86631,                0.63765,                0.67305,                0.29824,                 1.7151,                0.67287,                0.79644,             0.00020679,             0.00020679,             0.00020679
                     87,                 1.9461,                 0.8996,                0.76968,                0.88758,                0.64301,                0.67834,                0.30676,                 1.6945,                0.66228,                0.79655,             0.00020503,             0.00020503,             0.00020503
                     88,                 1.9381,                0.89174,                0.77289,                0.90216,                0.64199,                0.68804,                0.30569,                 1.7025,                0.65195,                0.79741,             0.00020326,             0.00020326,             0.00020326
                     89,                 1.9467,                0.89115,                0.77007,                0.90357,                0.64616,                0.68876,                 0.3102,                  1.698,                0.64171,                0.79633,             0.00020149,             0.00020149,             0.00020149
                     90,                 1.9518,                0.89682,                0.76499,                0.89702,                0.64221,                0.69074,                0.29615,                 1.7779,                0.66145,                0.80139,             0.00019972,             0.00019972,             0.00019972
                     91,                 1.9384,                0.89287,                0.76681,                0.88683,                0.64244,                0.68699,                0.30755,                 1.7284,                0.64674,                0.79514,             0.00019796,             0.00019796,             0.00019796
                     92,                 1.9297,                0.88609,                0.76504,                0.88022,                0.64631,                 0.6868,                0.30846,                 1.7184,                0.64624,                0.79693,             0.00019619,             0.00019619,             0.00019619
                     93,                 1.9096,                0.88061,                0.76738,                0.88556,                0.64372,                0.68879,                0.30051,                  1.753,                0.65746,                0.79519,             0.00019442,             0.00019442,             0.00019442
                     94,                 1.9312,                0.87964,                0.76646,                0.89802,                0.65855,                0.70145,                0.31621,                 1.7021,                0.63844,                0.79644,             0.00019266,             0.00019266,             0.00019266
                     95,                 1.8982,                0.86987,                0.76515,                0.89857,                0.64623,                0.69295,                0.31581,                 1.7094,                0.64122,                0.79663,             0.00019089,             0.00019089,             0.00019089
                     96,                   1.92,                0.89137,                0.76737,                0.89043,                0.63405,                0.68255,                0.30156,                 1.7362,                0.65145,                0.79676,             0.00018912,             0.00018912,             0.00018912
                     97,                 1.9064,                0.87778,                 0.7678,                 0.8981,                0.64396,                0.68781,                0.31013,                  1.729,                0.65968,                0.79707,             0.00018735,             0.00018735,             0.00018735
                     98,                 1.9247,                0.87398,                0.77274,                0.88737,                0.63636,                0.67968,                0.30414,                 1.7311,                0.64574,                0.79727,             0.00018559,             0.00018559,             0.00018559
                     99,                 1.9207,                0.88444,                0.76703,                0.88079,                0.64431,                 0.6822,                0.29561,                 1.7534,                0.65635,                0.79736,             0.00018382,             0.00018382,             0.00018382
                    100,                 1.9055,                0.88271,                0.76655,                0.89417,                0.65198,                0.69407,                0.31239,                 1.6997,                0.65039,                0.79694,             0.00018205,             0.00018205,             0.00018205
                    101,                 1.9164,                0.87813,                0.76754,                0.89309,                0.65512,                0.70342,                0.31835,                 1.6841,                0.64102,                0.79623,             0.00018028,             0.00018028,             0.00018028
                    102,                 1.8905,                0.85547,                0.77765,                0.89447,                0.64888,                0.69645,                0.31631,                 1.6753,                0.63919,                0.79582,             0.00017852,             0.00017852,             0.00017852
                    103,                 1.9188,                0.86798,                0.76427,                0.90015,                 0.6361,                0.69697,                0.30642,                 1.7198,                0.66873,                0.79677,             0.00017675,             0.00017675,             0.00017675
                    104,                 1.9002,                0.85418,                0.77435,                0.88442,                0.64665,                0.68826,                0.30759,                 1.7076,                0.64911,                0.79671,             0.00017498,             0.00017498,             0.00017498
                    105,                 1.9225,                0.87403,                  0.765,                0.89212,                0.64895,                0.69176,                0.31395,                 1.6879,                 0.6433,                0.79706,             0.00017322,             0.00017322,             0.00017322
                    106,                 1.8896,                0.83502,                0.76724,                0.87829,                0.65327,                0.68972,                0.31342,                 1.7011,                0.63863,                0.79687,             0.00017145,             0.00017145,             0.00017145
                    107,                 1.9209,                 0.8746,                0.76227,                0.89304,                0.64393,                0.70029,                0.31372,                 1.7048,                0.64478,                0.79712,             0.00016968,             0.00016968,             0.00016968
                    108,                 1.8789,                0.84583,                0.76803,                 0.8967,                0.64433,                0.70411,                0.31931,                 1.6765,                 0.6415,                0.79528,             0.00016791,             0.00016791,             0.00016791
                    109,                 1.8936,                0.86457,                0.76558,                0.90148,                 0.6504,                0.70297,                0.31877,                 1.6841,                0.64458,                0.79602,             0.00016615,             0.00016615,             0.00016615
                    110,                 1.8839,                0.86396,                0.76655,                0.89554,                0.64911,                0.69856,                0.31371,                 1.7088,                0.64771,                0.79595,             0.00016438,             0.00016438,             0.00016438
                    111,                 1.8486,                0.83559,                0.76813,                0.89692,                0.64798,                0.69931,                0.31404,                 1.7122,                0.64651,                0.79556,             0.00016261,             0.00016261,             0.00016261
                    112,                 1.8717,                0.84525,                0.76553,                0.90142,                0.64498,                0.69946,                0.31871,                 1.6795,                0.63798,                0.79605,             0.00016085,             0.00016085,             0.00016085
                    113,                 1.8938,                 0.8412,                0.77144,                0.89599,                0.64964,                0.70315,                0.32257,                 1.6727,                0.63102,                 0.7958,             0.00015908,             0.00015908,             0.00015908
                    114,                 1.8915,                0.85472,                0.76295,                0.88832,                0.64651,                0.70031,                0.31507,                 1.7039,                0.64833,                0.79726,             0.00015731,             0.00015731,             0.00015731
                    115,                 1.8723,                 0.8362,                0.76422,                0.89132,                0.65062,                0.70174,                0.32873,                 1.6648,                 0.6248,                0.79644,             0.00015554,             0.00015554,             0.00015554
                    116,                 1.8876,                0.85084,                 0.7644,                0.89943,                0.65312,                0.71039,                0.31329,                 1.7222,                0.64359,                0.79747,             0.00015378,             0.00015378,             0.00015378
                    117,                 1.8673,                0.83295,                0.76877,                0.88759,                0.65487,                0.69958,                0.31833,                 1.6754,                0.63241,                0.79576,             0.00015201,             0.00015201,             0.00015201
                    118,                 1.8745,                0.84096,                0.77138,                0.88074,                0.64163,                0.69039,                0.30344,                 1.7385,                0.64796,                 0.7988,             0.00015024,             0.00015024,             0.00015024
                    119,                 1.8699,                0.83654,                0.76767,                0.90069,                0.65741,                0.70131,                0.32108,                 1.6812,                0.63478,                0.79572,             0.00014848,             0.00014848,             0.00014848
                    120,                 1.8728,                0.83716,                0.76782,                0.89649,                0.65078,                0.69801,                0.31629,                 1.6946,                0.63789,                 0.7963,             0.00014671,             0.00014671,             0.00014671
                    121,                 1.8512,                0.83705,                0.76652,                0.90071,                 0.6639,                0.71182,                0.32536,                 1.6578,                0.62675,                0.79608,             0.00014494,             0.00014494,             0.00014494
                    122,                  1.861,                0.82977,                 0.7689,                0.90435,                0.65565,                 0.7071,                0.32674,                 1.6702,                0.63326,                  0.796,             0.00014317,             0.00014317,             0.00014317
                    123,                 1.8345,                0.82514,                0.76198,                 0.9085,                0.64349,                0.70394,                0.32053,                 1.6888,                0.65705,                0.79613,             0.00014141,             0.00014141,             0.00014141
                    124,                 1.8625,                0.82828,                0.76269,                0.91216,                0.65271,                0.70631,                0.32592,                 1.6687,                0.62435,                0.79613,             0.00013964,             0.00013964,             0.00013964
                    125,                 1.8422,                0.81399,                0.76939,                0.89966,                0.64254,                 0.6995,                0.31529,                 1.7132,                0.63733,                0.79605,             0.00013787,             0.00013787,             0.00013787
                    126,                 1.8276,                0.82191,                0.76385,                0.89017,                0.63769,                0.69131,                0.30782,                 1.7364,                0.64599,                0.79586,             0.00013611,             0.00013611,             0.00013611
                    127,                 1.8692,                0.84143,                0.76351,                0.88708,                0.64665,                0.69548,                0.32104,                 1.6721,                0.63321,                0.79521,             0.00013434,             0.00013434,             0.00013434
                    128,                 1.8592,                0.83141,                 0.7626,                0.88965,                0.66188,                0.70603,                0.32095,                 1.6744,                0.63365,                0.79619,             0.00013257,             0.00013257,             0.00013257
                    129,                 1.8667,                0.83881,                0.76755,                0.89952,                0.64471,                 0.7029,                0.32416,                 1.6635,                0.62622,                0.79495,              0.0001308,              0.0001308,              0.0001308
                    130,                 1.8575,                0.82083,                0.76973,                0.89725,                0.64247,                0.69962,                0.31499,                 1.7003,                0.63302,                0.79497,             0.00012904,             0.00012904,             0.00012904
                    131,                   1.87,                0.83343,                0.76562,                0.89245,                0.65833,                0.70393,                0.32739,                 1.6576,                0.63013,                0.79336,             0.00012727,             0.00012727,             0.00012727
                    132,                 1.8313,                0.81927,                0.76558,                0.89771,                0.65984,                  0.707,                0.32816,                 1.6591,                0.62567,                0.79479,              0.0001255,              0.0001255,              0.0001255
                    133,                 1.8348,                0.81116,                0.76701,                0.89762,                0.65375,                0.69771,                 0.3233,                 1.6649,                0.63282,                0.79434,             0.00012374,             0.00012374,             0.00012374
                    134,                 1.8316,                0.82053,                0.76533,                0.90304,                0.65175,                0.70312,                0.32724,                 1.6549,                0.62178,                0.79379,             0.00012197,             0.00012197,             0.00012197
                    135,                 1.8148,                0.80242,                0.76377,                0.90051,                0.65821,                0.70809,                0.32614,                 1.6586,                0.62173,                 0.7946,              0.0001202,              0.0001202,              0.0001202
