epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.434,2.48097,5.02532,1.48627,0,0,0,0,1.80252,4.88381,1.11405,9.996e-05,9.996e-05,9.996e-05
2,366.037,1.69884,4.67807,1.06434,0.02778,0.00096,0.01421,0.00568,1.48871,4.72883,0.99383,0.000196775,0.000196775,0.000196775
3,547.021,1.60305,4.37664,1.01303,0.05743,0.13505,0.04901,0.02735,1.4454,4.61862,0.97801,0.000286757,0.000286757,0.000286757
4,728.398,1.58555,4.10154,0.99803,0.04874,0.35797,0.07777,0.03917,1.48864,4.36374,0.98938,0.000321657,0.000321657,0.000321657
5,913.809,1.60453,3.7387,0.99975,0.0734,0.46158,0.10854,0.05139,1.54702,4.00928,1.01252,0.000309876,0.000309876,0.000309876
6,1091.43,1.62223,3.36602,1.0075,0.08434,0.55829,0.14028,0.07269,1.55648,3.34612,1.01917,0.000298095,0.000298095,0.000298095
7,1260.31,1.66312,3.01914,1.01725,0.207,0.30802,0.18825,0.09774,1.59768,2.84684,1.05088,0.000286314,0.000286314,0.000286314
8,1433.07,1.65797,2.68825,1.03074,0.24675,0.46012,0.29283,0.14769,1.69176,2.37129,1.08858,0.000274533,0.000274533,0.000274533
9,1600.82,1.65967,2.46308,1.04011,0.28579,0.56829,0.38839,0.20058,1.60447,2.15792,1.07214,0.000262752,0.000262752,0.000262752
10,1768.47,1.64602,2.28625,1.04029,0.32956,0.57575,0.44995,0.23009,1.62026,2.0389,1.08224,0.000250971,0.000250971,0.000250971
11,1938.19,1.62479,2.12076,1.02778,0.40499,0.60139,0.50953,0.26393,1.60703,1.90916,1.07553,0.00023919,0.00023919,0.00023919
12,2116.71,1.63614,1.96895,1.03769,0.45782,0.64717,0.53864,0.27316,1.61186,1.81081,1.09257,0.000227409,0.000227409,0.000227409
13,2287.43,1.62355,1.85673,1.0355,0.56886,0.69545,0.65659,0.33659,1.57648,1.64822,1.07089,0.000215628,0.000215628,0.000215628
14,2459.4,1.5914,1.74488,1.02453,0.6596,0.73864,0.73853,0.37472,1.56583,1.54693,1.05733,0.000203847,0.000203847,0.000203847
15,2631.3,1.59253,1.65173,1.02211,0.70183,0.78752,0.79134,0.40405,1.5933,1.43225,1.08413,0.000192066,0.000192066,0.000192066
16,2806.24,1.59185,1.5608,1.0342,0.76163,0.85005,0.85634,0.43645,1.55109,1.30255,1.06513,0.000180285,0.000180285,0.000180285
17,2976.56,1.55212,1.47022,1.01709,0.80363,0.87382,0.89352,0.4617,1.55216,1.22736,1.05982,0.000168504,0.000168504,0.000168504
18,3147.18,1.58635,1.39598,1.02409,0.81941,0.86112,0.8908,0.45597,1.57724,1.17448,1.08392,0.000156723,0.000156723,0.000156723
19,3317.79,1.56686,1.35637,1.01803,0.86015,0.87706,0.9024,0.45693,1.60428,1.13186,1.08688,0.000144942,0.000144942,0.000144942
20,3493.17,1.54054,1.27607,1.01446,0.86713,0.90206,0.92111,0.47473,1.55395,1.07709,1.06782,0.000133161,0.000133161,0.000133161
21,3646.28,1.52232,1.24877,1.0491,0.85056,0.88692,0.92788,0.47512,1.53433,1.14282,1.07968,0.00012138,0.00012138,0.00012138
22,3805.87,1.51121,1.16993,1.03974,0.87867,0.89236,0.94642,0.48458,1.53857,1.06377,1.07847,0.000109599,0.000109599,0.000109599
23,3959.85,1.51095,1.1112,1.03981,0.89919,0.92213,0.94545,0.48335,1.54736,1.01161,1.07952,9.7818e-05,9.7818e-05,9.7818e-05
24,4122.45,1.50749,1.06899,1.03939,0.91045,0.93114,0.94404,0.48444,1.54907,0.9997,1.07456,8.6037e-05,8.6037e-05,8.6037e-05
25,4279.04,1.49021,1.04557,1.03516,0.93497,0.94888,0.95927,0.49191,1.52766,0.97629,1.06465,7.4256e-05,7.4256e-05,7.4256e-05
26,4431.76,1.49027,1.03919,1.03348,0.92403,0.94597,0.9535,0.48984,1.55874,0.96763,1.08064,6.2475e-05,6.2475e-05,6.2475e-05
27,4585.31,1.47549,1.01076,1.02749,0.93878,0.95419,0.96131,0.49433,1.52593,0.94442,1.0709,5.0694e-05,5.0694e-05,5.0694e-05
28,4741.3,1.46933,0.99089,1.02399,0.93042,0.94459,0.95362,0.49564,1.55595,0.94296,1.07875,3.8913e-05,3.8913e-05,3.8913e-05
29,4898.82,1.4705,0.98576,1.02519,0.94205,0.95807,0.96403,0.50552,1.51511,0.92115,1.06157,2.7132e-05,2.7132e-05,2.7132e-05
30,5055.68,1.464,0.9747,1.03157,0.94292,0.96158,0.96462,0.5042,1.51797,0.91575,1.06501,1.5351e-05,1.5351e-05,1.5351e-05
