                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4791,                 5.0253,                 1.4816,                      0,                      0,                      0,                      0,                 1.8146,                 4.8361,                 1.1093,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 1.7496,                 4.3406,                 1.0721,                0.04151,                0.38684,                0.05732,                0.03227,                 1.6011,                 4.2618,                 1.0231,             0.00019677,             0.00019677,             0.00019677
                      3,                 1.6873,                 3.7487,                 1.0368,                0.08646,                0.51371,                0.09881,                0.05195,                 1.5893,                 3.6379,                 1.0361,             0.00028676,             0.00028676,             0.00028676
                      4,                 1.6888,                 3.2611,                 1.0316,                0.11452,                0.64109,                0.14895,                0.07605,                 1.6657,                  3.073,                 1.0806,             0.00032166,             0.00032166,             0.00032166
                      5,                 1.6872,                  2.839,                 1.0357,                0.16877,                0.58873,                0.23104,                0.11769,                 1.6765,                 2.6047,                 1.0736,             0.00030988,             0.00030988,             0.00030988
                      6,                 1.6814,                 2.5408,                 1.0389,                0.26682,                0.53299,                0.29542,                0.15374,                 1.6064,                 2.3123,                 1.0459,              0.0002981,              0.0002981,              0.0002981
                      7,                  1.683,                  2.335,                 1.0297,                0.36264,                0.57187,                0.36415,                0.19004,                 1.5931,                 2.2271,                  1.055,             0.00028631,             0.00028631,             0.00028631
                      8,                 1.6477,                 2.1378,                 1.0348,                0.38673,                 0.6125,                0.44652,                0.22483,                 1.6527,                 1.9074,                 1.0845,             0.00027453,             0.00027453,             0.00027453
                      9,                 1.6322,                 1.9769,                 1.0395,                0.44355,                0.68114,                0.54878,                0.28238,                 1.5807,                 1.8265,                 1.0602,             0.00026275,             0.00026275,             0.00026275
                     10,                 1.6133,                 1.8467,                 1.0338,                 0.4885,                0.71477,                0.67192,                0.33667,                 1.5832,                 1.6662,                 1.0644,             0.00025097,             0.00025097,             0.00025097
                     11,                 1.6045,                 1.7012,                 1.0246,                0.64204,                0.70051,                0.75154,                0.37815,                 1.5989,                 1.5537,                 1.0715,             0.00023919,             0.00023919,             0.00023919
                     12,                 1.6161,                 1.5609,                 1.0337,                0.71898,                 0.7807,                0.80861,                0.40556,                 1.5766,                 1.5078,                 1.0652,             0.00022741,             0.00022741,             0.00022741
                     13,                  1.593,                 1.4812,                 1.0303,                0.79926,                0.84805,                0.88122,                0.44286,                 1.5458,                 1.2859,                 1.0503,             0.00021563,             0.00021563,             0.00021563
                     14,                  1.568,                 1.3835,                 1.0232,                0.83264,                0.86353,                0.91346,                0.46872,                 1.5506,                 1.2147,                 1.0522,             0.00020385,             0.00020385,             0.00020385
                     15,                 1.5813,                 1.3018,                 1.0235,                0.83873,                0.86138,                0.92581,                0.47156,                 1.5476,                 1.2067,                  1.052,             0.00019207,             0.00019207,             0.00019207
                     16,                 1.5724,                 1.2304,                 1.0326,                0.87184,                0.90686,                0.95062,                0.49347,                 1.5237,                 1.0739,                  1.053,             0.00018028,             0.00018028,             0.00018028
                     17,                 1.5326,                 1.1721,                 1.0151,                0.88304,                0.90611,                0.94862,                0.48858,                 1.5436,                 1.0595,                 1.0568,              0.0001685,              0.0001685,              0.0001685
                     18,                  1.567,                 1.1215,                 1.0249,                0.91041,                0.92659,                0.94523,                0.49015,                 1.5509,                0.98171,                 1.0647,             0.00015672,             0.00015672,             0.00015672
                     19,                 1.5485,                 1.1003,                 1.0173,                0.89458,                0.92261,                0.92954,                0.47113,                 1.5939,                0.98152,                 1.0837,             0.00014494,             0.00014494,             0.00014494
                     20,                 1.5205,                 1.0338,                 1.0127,                0.93535,                0.93922,                0.95012,                0.49169,                 1.5676,                0.92933,                 1.0685,             0.00013316,             0.00013316,             0.00013316
                     21,                 1.5005,                 1.0058,                 1.0437,                0.90499,                0.91457,                0.95021,                0.49233,                 1.5465,                 1.0478,                 1.0572,             0.00012138,             0.00012138,             0.00012138
                     22,                 1.4948,                 0.9451,                 1.0387,                0.92582,                0.94392,                0.96072,                0.50146,                 1.5457,                  0.881,                 1.0756,              0.0001096,              0.0001096,              0.0001096
                     23,                 1.4904,                0.91743,                 1.0391,                0.93839,                0.95383,                0.95336,                0.49803,                 1.5457,                 0.8859,                 1.0781,             9.7818e-05,             9.7818e-05,             9.7818e-05
                     24,                 1.4903,                0.89693,                 1.0392,                0.94608,                0.95997,                 0.9633,                0.50142,                 1.5387,                0.85577,                 1.0717,             8.6037e-05,             8.6037e-05,             8.6037e-05
                     25,                 1.4746,                 0.8756,                 1.0337,                0.94559,                0.98025,                 0.9675,                0.51233,                 1.5167,                0.83989,                 1.0618,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     26,                 1.4692,                0.87597,                 1.0346,                0.92595,                0.96539,                 0.9571,                0.49997,                 1.5616,                 0.8586,                 1.0825,             6.2475e-05,             6.2475e-05,             6.2475e-05
                     27,                 1.4577,                0.86448,                 1.0264,                0.93152,                0.97646,                 0.9622,                0.51053,                 1.5215,                0.84212,                 1.0691,             5.0694e-05,             5.0694e-05,             5.0694e-05
                     28,                 1.4503,                0.84885,                 1.0221,                0.94403,                0.97531,                0.96395,                0.50797,                 1.5475,                0.84834,                 1.0789,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     29,                 1.4479,                0.83747,                 1.0235,                0.95339,                 0.9757,                0.96804,                0.51862,                 1.5119,                0.82186,                 1.0622,             2.7132e-05,             2.7132e-05,             2.7132e-05
                     30,                 1.4423,                0.83231,                 1.0289,                0.95383,                 0.9775,                0.96707,                0.51682,                 1.5188,                0.81876,                 1.0657,             1.5351e-05,             1.5351e-05,             1.5351e-05
